Vertices;Comparacoes;Tempo(seg);;;;;;;;;
181;65160;0.00;;;;;;;;;
182;65884;0.00;;;;;;;;;
183;66612;0.00;;;;;;;;;
184;67344;0.00;;;;;;;;;
185;68080;0.00;;;;;;;;;
186;68820;0.00;;;;;;;;;
187;69564;0.00;;;;;;;;;
188;70312;0.00;;;;;;;;;
189;71064;0.00;;;;;;;;;
190;71820;0.00;;;;;;;;;
191;72580;0.00;;;;;;;;;
192;73344;0.00;;;;;;;;;
193;74112;0.00;;;;;;;;;
194;74884;0.00;;;;;;;;;
195;75660;0.00;;;;;;;;;
196;76440;0.00;;;;;;;;;
197;77224;0.00;;;;;;;;;
198;78012;0.00;;;;;;;;;
199;78804;0.00;;;;;;;;;
200;79600;0.00;;;;;;;;;
201;80400;0.00;;;;;;;;;
202;81204;0.00;;;;;;;;;
203;82012;0.00;;;;;;;;;
204;82824;0.00;;;;;;;;;
205;83640;0.00;;;;;;;;;
206;84460;0.00;;;;;;;;;
207;85284;0.00;;;;;;;;;
208;86112;0.00;;;;;;;;;
209;86944;0.00;;;;;;;;;
210;87780;0.00;;;;;;;;;
211;88620;0.00;;;;;;;;;
212;89464;0.00;;;;;;;;;
213;90312;0.00;;;;;;;;;
214;91164;0.00;;;;;;;;;
215;92020;0.00;;;;;;;;;
216;92880;0.00;;;;;;;;;
217;93744;0.00;;;;;;;;;
218;94612;0.00;;;;;;;;;
219;95484;0.00;;;;;;;;;
220;96360;0.00;;;;;;;;;
221;97240;0.00;;;;;;;;;
222;98124;0.00;;;;;;;;;
223;99012;0.00;;;;;;;;;
224;99904;0.00;;;;;;;;;
225;100800;0.00;;;;;;;;;
226;101700;0.00;;;;;;;;;
227;102604;0.00;;;;;;;;;
228;103512;0.00;;;;;;;;;
229;104424;0.00;;;;;;;;;
230;105340;0.00;;;;;;;;;
231;106260;0.00;;;;;;;;;
232;107184;0.00;;;;;;;;;
233;108112;0.00;;;;;;;;;
234;109044;0.00;;;;;;;;;
235;109980;0.00;;;;;;;;;
236;110920;0.00;;;;;;;;;
237;111864;0.00;;;;;;;;;
238;112812;0.00;;;;;;;;;
239;113764;0.00;;;;;;;;;
240;114720;0.00;;;;;;;;;
241;115680;0.00;;;;;;;;;
242;116644;0.00;;;;;;;;;
243;117612;0.00;;;;;;;;;
244;118584;0.00;;;;;;;;;
245;119560;0.00;;;;;;;;;
246;120540;0.00;;;;;;;;;
247;121524;0.00;;;;;;;;;
248;122512;0.00;;;;;;;;;
249;123504;0.00;;;;;;;;;
250;124500;0.00;;;;;;;;;
251;125500;0.00;;;;;;;;;
252;126504;0.00;;;;;;;;;
253;127512;0.00;;;;;;;;;
254;128524;0.00;;;;;;;;;
255;129540;0.00;;;;;;;;;
256;130560;0.00;;;;;;;;;
257;131584;0.00;;;;;;;;;
258;132612;0.00;;;;;;;;;
259;133644;0.00;;;;;;;;;
260;134680;0.00;;;;;;;;;
261;135720;0.00;;;;;;;;;
262;136764;0.00;;;;;;;;;
263;137812;0.00;;;;;;;;;
264;138864;0.00;;;;;;;;;
265;139920;0.00;;;;;;;;;
266;140980;0.00;;;;;;;;;
267;142044;0.00;;;;;;;;;
268;143112;0.00;;;;;;;;;
269;144184;0.00;;;;;;;;;
270;145260;0.00;;;;;;;;;
